dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
cifar10,sdsl_full,4,9,0.3551,1.5574638545513153,0.3203125,1.0,0.37109375,0.2734375,0.26953125,0.734375,0.1574411243200302,0.0,0.010898643190247472,1.517029356956482,1.9684435963630675,0.4514142394065857,0.10205996604636311,0.704226183090188,0.002159781684167683,8,256,5.6377033329999975
cifar10,sdsl_full,4,10,0.3662,1.5481953263282775,0.27734375,1.0,0.2890625,0.26171875,0.2578125,0.83203125,0.1638869196176529,0.62890625,0.010761099459846381,1.4901435256004334,2.0940061032772066,0.6038625776767731,0.10755664017051458,0.7270580595016077,0.0022237267345190047,8,256,5.629208249999991
cifar10,sdsl_full,4,11,0.3583,1.538811707496643,0.27734375,1.0,0.30078125,0.2578125,0.26171875,0.6953125,0.16136443614959717,0.62109375,0.009101745825352071,1.5113637328147889,2.341788023710251,0.830424290895462,0.13709822427481413,0.7442166487279283,0.0021828569006174803,8,256,5.660028374999996
cifar10,sdsl_full,4,12,0.3571,1.538051027059555,0.3671875,1.0,0.4140625,0.3125,0.3203125,0.6796875,0.1419735848903656,0.62109375,0.010522876187435075,1.4975884974002838,2.290825128555298,0.7932366311550141,0.12482541166245938,0.8048988903294552,0.002218699688091874,8,256,5.637572792
cifar10,sdsl_full,4,13,0.3674,1.5086933016777038,0.3359375,1.0,0.375,0.296875,0.30078125,0.6484375,0.13758227229118347,0.625,0.009893540530372315,1.4864894509315492,2.6026794612407684,1.1161900103092193,0.1345245348289609,0.7501323578526018,0.002390656870556995,8,256,5.715192208000005
cifar10,sdsl_full,4,14,0.3721,1.5125135898590087,0.41015625,1.0,0.44921875,0.37109375,0.33984375,0.72265625,0.1573186218738556,0.625,0.010118613368310924,1.4464706838130952,2.11028738617897,0.6638167023658752,0.10596437323838473,0.8018961943769206,0.00225561301340349,8,256,5.668166249999999
cifar10,sdsl_full,4,15,0.3748,1.4583863258361816,0.421875,1.0,0.4453125,0.359375,0.42578125,0.62109375,0.17193388938903809,0.625,0.010988798891822029,1.4447137653827666,2.7482972383499145,1.3035834729671478,0.15357819609344006,0.7538505010239752,0.00246497982298024,8,256,5.645127665999993
cifar10,sdsl_full,4,16,0.3828,1.4633489787578582,0.22265625,1.0,0.21484375,0.22265625,0.2109375,0.765625,0.1638215184211731,0.625,0.010511250164360659,1.444491982460022,2.530720752477646,1.0862287700176239,0.14734598957002162,0.7890455948004111,0.0024701710790395737,8,256,5.676932375000007
cifar10,sdsl_full,4,17,0.3773,1.4690850913524627,0.359375,1.0,0.37109375,0.33984375,0.34375,0.6484375,0.1333431899547577,0.62109375,0.010292879555728435,1.4216313302516936,2.3438003718852998,0.9221690416336059,0.1352896997705102,0.735468303224763,0.0023981551348697394,8,256,5.67263087500001
cifar10,sdsl_full,4,18,0.3799,1.4435962200164796,0.41015625,1.0,0.48046875,0.34765625,0.34375,0.78125,0.12531965970993042,0.625,0.010154705182768994,1.406468105316162,2.6609684407711027,1.2545003354549409,0.15622225720435381,0.6982152141246913,0.0023784936522133647,8,256,5.633780125000001
cifar10,sdsl_full,4,19,0.3889,1.4258757948875427,0.328125,1.0,0.37890625,0.2734375,0.28125,0.70703125,0.1431334912776947,0.62890625,0.009770833118766994,1.4056526720523834,2.1477432370185854,0.7420905649662017,0.11817587669938803,0.6901491716546051,0.0023792438965756445,8,256,5.617557125000005
