dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
svhn,sdsl_full,1,9,0.0721419791026429,2.135514569282532,0.16796875,1.0,0.1796875,0.16796875,0.171875,0.6171875,0.1524820327758789,0.0,0.013552429504812148,2.1157126665115356,2.122616505622864,0.006903839111328125,0.016273009008727968,0.42010889724364925,0.0004853823687881231,8,256,12.727214416999999
svhn,sdsl_full,1,10,0.07859557467732022,2.1242506980895994,0.14453125,1.0,0.16796875,0.11328125,0.1171875,0.625,0.19223840534687042,0.62890625,0.013247034550759247,2.1073982179164887,2.1210142076015472,0.013615989685058593,0.02143407012335956,0.5164841539105753,0.0005015399772673845,8,256,12.602689791999978
svhn,sdsl_full,1,11,0.08504917025199754,2.117554986476898,0.1015625,1.0,0.0859375,0.09375,0.109375,0.6328125,0.20545916259288788,0.62109375,0.013587037521605037,2.1175572514533996,2.1342185497283936,0.016661298274993897,0.020913554914295675,0.47670348248810346,0.0005556065152632073,8,256,12.682489540999995
svhn,sdsl_full,1,12,0.09999231714812538,2.121117949485779,0.0625,1.0,0.046875,0.09375,0.07421875,0.671875,0.23222866654396057,0.62109375,0.013039724518543653,2.097203004360199,2.1217641651630403,0.024561160802841188,0.0275332055054605,0.6007890070235138,0.0006175816437462345,8,256,12.55923362499999
svhn,sdsl_full,1,13,0.09787953288260602,2.115576386451721,0.07421875,1.0,0.11328125,0.078125,0.07421875,0.6328125,0.27867475152015686,0.625,0.012454691039927284,2.0948286235332487,2.1133813738822935,0.0185527503490448,0.025817589880898596,0.5800387238475573,0.0005936074841883965,8,256,12.513336332999984
svhn,sdsl_full,1,14,0.10433312845728335,2.10258127450943,0.13671875,1.0,0.1875,0.140625,0.12890625,0.703125,0.2501499056816101,0.625,0.012589313381538837,2.096033585071564,2.137671434879303,0.041637849807739255,0.034899684693664314,0.6797032747392638,0.0006856453459477052,8,256,12.485144165999998
svhn,sdsl_full,1,15,0.11681776275353412,2.095058298110962,0.1484375,1.0,0.19140625,0.10546875,0.125,0.5546875,0.24418430030345917,0.625,0.013286735392973191,2.082899045944214,2.128680109977722,0.045781064033508304,0.0374953399412334,0.7348190098353581,0.0006677877594484016,8,256,12.775335667000007
svhn,sdsl_full,1,16,0.12023663183773817,2.0901432037353516,0.0859375,1.0,0.0625,0.109375,0.09375,0.65234375,0.2560969889163971,0.625,0.01150659170236658,2.083844941854477,2.17144718170166,0.08760223984718322,0.05187570191919803,0.7391568539050859,0.0007305621678824536,8,256,12.704057416000012
svhn,sdsl_full,1,17,0.10898125384142594,2.0846451997756956,0.0625,1.0,0.0546875,0.0546875,0.0625,0.7734375,0.25929051637649536,0.62109375,0.012035463527282563,2.0474017560482025,2.192003035545349,0.1446012794971466,0.06335192467086018,0.7593527323524811,0.0009387612139107659,8,256,12.72155537499998
svhn,sdsl_full,1,18,0.11800860479409957,2.066719138622284,0.10546875,1.0,0.09375,0.10546875,0.11328125,0.703125,0.18926671147346497,0.625,0.011449681593769998,2.0499082088470457,2.188326323032379,0.13841811418533326,0.062196464650332926,0.7870259292723766,0.0009062798664672301,8,256,12.757175291999971
svhn,sdsl_full,1,19,0.1136677934849416,2.0594162464141847,0.1796875,1.0,0.20703125,0.15234375,0.1796875,0.69140625,0.2531203627586365,0.62890625,0.01229233936058294,2.054395246505737,2.19607327580452,0.14167802929878234,0.062175817880779506,0.7048881795901137,0.0010615747654810549,8,256,12.550839958999973
