dataset,method,seed,reference_type,trajectory_comparable,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_distribution_tv,mean_feature_centroid_drift,mean_parameter_change,mean_batch_seconds,total_seconds,final_buffer_size,ewc_lambda,threshold,initial_lr,online_lr,fisher_mean,fisher_max,_source_file,offline_training_seconds,offline_epochs,offline_train_examples,mean_initial_pseudo_precision,mean_cluster_precision,mean_semantic_precision,mean_sharpness_gap,mean_flat_width,mean_projected_gradient_fraction,final_subspace_rank
svhn,ewc,3,continual_semi_supervised,True,0.08408881376767056,0.08408881376767056,0.08408881376767055,0.0,0.09424985913778193,0.0,,0.0,0.41629464285714285,0.18923909751077495,0.0,11.62962044585,250.688740625,0.0,50.0,0.9,0.001,0.0005,9.56352669163607e-05,0.08990736305713654,summary_svhn_ewc_seed3_lam50_thr0.9.json,,,,,,,,,,
svhn,ewc,4,continual_semi_supervised,True,0.1272280270436386,0.1272280270436386,0.1272280270436386,0.0,0.11777025130553907,0.0,,0.0,0.41629464285714285,0.2566660459020308,0.0,11.673859200000004,251.67838949999998,0.0,50.0,0.9,0.001,0.0005,0.00017780957568902522,0.08985587954521179,summary_svhn_ewc_seed4_lam50_thr0.9.json,,,,,,,,,,
svhn,naive,0,continual_semi_supervised,True,0.1466656422864167,0.1466656422864167,0.14666564228641668,0.0,0.13932581469224872,0.0,,0.0,0.41629464285714285,0.17420649207418876,0.0,11.180740773100002,237.14104300000002,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_naive_seed0_lam50_thr0.9.json,,,,,,,,,,
svhn,naive,1,continual_semi_supervised,True,0.08347418561770129,0.08347418561770129,0.08347418561770129,0.0,0.09377013411653468,0.0,,0.0,0.41629464285714285,0.2314347605974901,0.0,11.185523843800002,237.313327375,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_naive_seed1_lam50_thr0.9.json,,,,,,,,,,
svhn,naive,2,continual_semi_supervised,True,0.12088967424708051,0.12088967424708051,0.1208896742470805,0.0,0.11322162021258603,0.0,,0.0,0.41629464285714285,0.14068357450444074,0.0,11.1870922666,237.319565625,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_naive_seed2_lam50_thr0.9.json,,,,,,,,,,
svhn,naive,3,continual_semi_supervised,True,0.08408881376767056,0.08408881376767056,0.08408881376767055,0.0,0.09424985913778193,0.0,,0.0,0.41629464285714285,0.18923909751077495,0.0,11.17815778335,237.146249,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_naive_seed3_lam50_thr0.9.json,,,,,,,,,,
svhn,naive,4,continual_semi_supervised,True,0.1272280270436386,0.1272280270436386,0.1272280270436386,0.0,0.11777025130553907,0.0,,0.0,0.41629464285714285,0.2566660459020308,0.0,11.20156757705,237.760212084,0.0,50.0,0.9,0.001,0.0005,,,summary_svhn_naive_seed4_lam50_thr0.9.json,,,,,,,,,,
svhn,offline,0,oracle_joint_supervised,False,0.1466656422864167,0.39804855562384756,,,,,,,0.437109375,,,,16.922419166999997,,,,,,,,summary_svhn_offline_seed0_epochs5_lr0.001.json,5.723454374999999,5.0,6120.0,,,,,,,
svhn,offline,1,oracle_joint_supervised,False,0.08347418561770129,0.3723878303626306,,,,,,,0.437109375,,,,16.892367417000003,,,,,,,,summary_svhn_offline_seed1_epochs5_lr0.001.json,5.716207958000002,5.0,6120.0,,,,,,,
svhn,offline,2,oracle_joint_supervised,False,0.12088967424708051,0.4293177627535341,,,,,,,0.437109375,,,,16.952763208,,,,,,,,summary_svhn_offline_seed2_epochs5_lr0.001.json,5.722523041999999,5.0,6120.0,,,,,,,
